epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1617.31,0.0936,1.15224,0.89087,0.7215,0.71826,0.79189,0.79178,0.05301,0.70432,1.04747,0.00643101,0.00643101,0.00643101
43,1654.25,0.09084,1.14731,0.89057,0.6991,0.75366,0.79679,0.79671,0.0476,0.65747,1.04354,0.00628101,0.00628101,0.00628101
44,1693.64,0.09084,1.14911,0.88846,0.69927,0.7497,0.79787,0.79777,0.0474,0.65368,1.04347,0.00612981,0.00612981,0.00612981
45,1732.64,0.08946,1.13795,0.89036,0.68805,0.76006,0.79826,0.79815,0.05118,0.65279,1.04389,0.00597754,0.00597754,0.00597754
46,1769.78,0.08933,1.13564,0.89011,0.70561,0.74452,0.79875,0.79869,0.05542,0.65689,1.04457,0.00582435,0.00582435,0.00582435
47,1808.85,0.08863,1.13247,0.89042,0.71326,0.74424,0.79928,0.79899,0.05636,0.6687,1.04609,0.0056704,0.0056704,0.0056704
48,1847.89,0.0877,1.12807,0.89096,0.71243,0.75247,0.80255,0.80227,0.05728,0.65968,1.04688,0.00551584,0.00551584,0.00551584
49,1886.16,0.08641,1.12716,0.89148,0.71047,0.75421,0.80321,0.80292,0.05678,0.65619,1.04801,0.00536081,0.00536081,0.00536081
50,1924.72,0.08586,1.1133,0.88999,0.71529,0.75049,0.80421,0.80388,0.05734,0.6522,1.0483,0.00520548,0.00520548,0.00520548
51,1963.07,0.08539,1.12122,0.88988,0.72072,0.74593,0.8049,0.80458,0.06059,0.6501,1.04959,0.00505,0.00505,0.00505
52,2002.72,0.08534,1.11271,0.888,0.72393,0.74331,0.80638,0.80608,0.06288,0.64675,1.05021,0.00489452,0.00489452,0.00489452
53,2040.29,0.08376,1.11401,0.88892,0.72118,0.74959,0.80752,0.80718,0.06229,0.64251,1.04922,0.00473919,0.00473919,0.00473919
54,2078.39,0.08208,1.10937,0.88781,0.72063,0.74807,0.80842,0.80829,0.06062,0.63824,1.04776,0.00458416,0.00458416,0.00458416
55,2115.81,0.07999,1.10448,0.88791,0.72556,0.7464,0.80972,0.80943,0.05886,0.63527,1.04726,0.0044296,0.0044296,0.0044296
56,2154.17,inf,1.09696,0.88871,0.71862,0.75462,0.81051,0.81043,0.05803,0.63704,1.04665,0.00427565,0.00427565,0.00427565
57,2192.52,0.0798,1.09541,0.88881,0.72083,0.74839,0.81116,0.81108,0.05686,0.6344,1.04602,0.00412246,0.00412246,0.00412246
58,2231.41,0.07854,1.09013,0.88772,0.71452,0.75239,0.8116,0.81152,0.05614,0.63216,1.04567,0.00397019,0.00397019,0.00397019
