epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2249.82,0.09511,1.13268,0.89053,0.70693,0.7684,0.78497,0.7847,0.02652,2.08456,1.04242,0.00828443,0.00828443,0.00828443
43,2302.03,0.09345,1.12826,0.89065,0.71817,0.75824,0.7888,0.78849,0.02666,1.81758,1.042,0.00820525,0.00820525,0.00820525
44,2354.4,0.094,1.1307,0.88843,0.71243,0.76345,0.78793,0.78758,0.02761,2.2066,1.04174,0.00812468,0.00812468,0.00812468
45,2408.64,0.09246,1.11919,0.89028,0.71517,0.76356,0.78797,0.78729,0.03,2.15625,1.04332,0.00804277,0.00804277,0.00804277
46,2460.83,0.0924,1.11756,0.88985,0.71731,0.76402,0.78734,0.78701,0.02952,2.0084,1.0433,0.00795954,0.00795954,0.00795954
47,2514.61,0.09305,1.11934,0.89069,0.70798,0.78096,0.78976,0.78967,0.02762,1.88798,1.04206,0.00787503,0.00787503,0.00787503
48,2568.91,0.09151,1.11585,0.89053,0.72375,0.76867,0.79162,0.79156,0.02892,1.80748,1.04274,0.00778929,0.00778929,0.00778929
49,2621,0.0901,1.11284,0.89146,0.72187,0.7705,0.79504,0.79482,0.02951,1.63573,1.04292,0.00770234,0.00770234,0.00770234
50,2675.22,0.09036,1.10637,0.89,0.72232,0.77336,0.79742,0.79726,0.03085,1.49587,1.04281,0.00761423,0.00761423,0.00761423
51,2729.77,0.08935,1.11045,0.89053,0.72847,0.77489,0.79827,0.79818,0.03334,1.42263,1.04295,0.007525,0.007525,0.007525
52,2783.95,0.08964,1.10438,0.888,0.73441,0.76746,0.79869,0.79863,0.03391,1.41233,1.04293,0.00743468,0.00743468,0.00743468
53,2838.52,0.08824,1.10617,0.88934,0.74027,0.76123,0.80159,0.80155,0.03222,1.31206,1.04232,0.00734332,0.00734332,0.00734332
54,2892.26,0.0881,1.10148,0.88858,0.72545,0.7771,0.80343,0.80336,0.0316,1.23776,1.04173,0.00725094,0.00725094,0.00725094
55,2947.04,0.08698,1.09936,0.88848,0.73525,0.76888,0.80323,0.80318,0.03298,1.23368,1.04179,0.00715761,0.00715761,0.00715761
56,3001.43,0.08705,1.09313,0.88914,0.72515,0.7761,0.80386,0.80383,0.03334,1.19447,1.04196,0.00706335,0.00706335,0.00706335
57,3055.02,0.0871,1.09123,0.88932,0.73089,0.77262,0.80533,0.80526,0.03449,1.17048,1.04226,0.0069682,0.0069682,0.0069682
58,3108.89,0.08596,1.09025,0.88871,0.73371,0.76972,0.80626,0.80619,0.03475,1.08971,1.04242,0.00687222,0.00687222,0.00687222
59,3163.49,0.085,1.08832,0.89063,0.72542,0.77901,0.80747,0.80741,0.03482,1.03413,1.0423,0.00677543,0.00677543,0.00677543
60,3217.17,0.08472,1.08365,0.88787,0.7268,0.77761,0.80816,0.80809,0.03448,0.98984,1.04215,0.00667789,0.00667789,0.00667789
61,3271.56,0.08377,1.07974,0.88947,0.73494,0.77176,0.80976,0.80968,0.03374,0.91805,1.04191,0.00657963,0.00657963,0.00657963
62,3325.56,0.08407,1.07958,0.88859,0.73113,0.77552,0.81124,0.81115,0.0334,0.88253,1.04187,0.00648071,0.00648071,0.00648071
63,3380.05,0.08267,1.08021,0.88811,0.73265,0.77325,0.8127,0.81261,0.03294,0.8435,1.04181,0.00638115,0.00638115,0.00638115
64,3433.53,0.08241,1.07525,0.88838,0.74429,0.7644,0.81307,0.81299,0.03252,0.83731,1.04183,0.00628101,0.00628101,0.00628101
65,3487.79,0.08172,1.07293,0.88806,0.7468,0.76153,0.813,0.81296,0.03228,0.83477,1.04186,0.00618034,0.00618034,0.00618034
66,3541.98,0.08206,1.06571,0.88862,0.74107,0.76786,0.81346,0.81342,0.03185,0.81756,1.04181,0.00607916,0.00607916,0.00607916
67,3596.32,0.0819,1.07076,0.88995,0.74297,0.76582,0.81338,0.81332,0.03146,0.8235,1.04178,0.00597754,0.00597754,0.00597754
68,3650.26,0.08115,1.07187,0.89029,0.74046,0.77228,0.81372,0.81369,0.03064,0.82333,1.04165,0.00587551,0.00587551,0.00587551
69,3703.71,0.08062,1.07175,0.88837,0.74117,0.77342,0.81445,0.81441,0.03023,0.82409,1.04173,0.00577311,0.00577311,0.00577311
70,3757.46,0.07919,1.06451,0.88988,0.74431,0.76972,0.81511,0.81506,0.03023,0.82116,1.0417,0.0056704,0.0056704,0.0056704
71,3809.34,0.07883,1.05786,0.88792,0.75153,0.76183,0.81559,0.81553,0.03055,0.81487,1.04167,0.00556742,0.00556742,0.00556742
72,3862.58,0.07739,1.05757,0.88854,0.75062,0.76065,0.81608,0.81602,0.03007,0.80999,1.04165,0.00546421,0.00546421,0.00546421
73,3915.84,0.07691,1.05881,0.88779,0.75152,0.76028,0.81646,0.8164,0.02954,0.79893,1.04158,0.00536081,0.00536081,0.00536081
74,3969.32,0.07723,1.05145,0.88618,0.75718,0.7578,0.81661,0.81654,0.02909,0.80134,1.0415,0.00525728,0.00525728,0.00525728
75,4022.91,0.07737,1.04217,0.88766,0.76246,0.75274,0.81674,0.81665,0.0296,0.80023,1.04149,0.00515366,0.00515366,0.00515366
76,4076.57,0.07715,1.04439,0.88757,0.76233,0.75285,0.81698,0.8169,0.03019,0.80039,1.04148,0.00505,0.00505,0.00505
77,4128.51,0.0753,1.03932,0.88718,0.76335,0.7513,0.81677,0.8167,0.03048,0.80857,1.04152,0.00494634,0.00494634,0.00494634
78,4183.21,0.07464,1.03186,0.8878,0.75891,0.75463,0.81668,0.81663,0.03002,0.82294,1.04156,0.00484272,0.00484272,0.00484272
79,4235.34,0.07587,1.04561,0.88716,0.757,0.75679,0.81678,0.81674,0.03129,0.82191,1.04173,0.00473919,0.00473919,0.00473919
80,4287.3,0.0739,1.03547,0.88612,0.75528,0.75755,0.81716,0.81712,0.03144,0.81805,1.04176,0.00463579,0.00463579,0.00463579
81,4339.37,0.07425,1.02976,0.88766,0.75226,0.76116,0.81766,0.81763,0.03127,0.80941,1.04177,0.00453258,0.00453258,0.00453258
82,4393.29,0.07281,1.02271,0.88785,0.75345,0.76096,0.81785,0.81781,0.03099,0.80721,1.04177,0.0044296,0.0044296,0.0044296
83,4444.97,0.07215,1.0218,0.88808,0.75684,0.75713,0.81778,0.81774,0.03123,0.81137,1.04179,0.00432689,0.00432689,0.00432689
84,4496.41,0.07131,1.02781,0.88903,0.75721,0.75652,0.81793,0.81788,0.03094,0.81347,1.04177,0.00422449,0.00422449,0.00422449
85,4551.37,inf,1.02482,0.88675,0.73581,0.78172,0.81797,0.81793,0.03122,0.81107,1.04177,0.00412246,0.00412246,0.00412246
86,4604.4,0.07012,1.01956,0.88596,0.73601,0.78035,0.81859,0.81855,0.03063,0.79757,1.04171,0.00402084,0.00402084,0.00402084
87,4657.33,0.06992,1.01528,0.88655,0.73786,0.77849,0.81888,0.81885,0.0305,0.79058,1.04164,0.00391966,0.00391966,0.00391966
88,4710.09,0.06931,1.00817,0.8868,0.73812,0.77748,0.8191,0.81908,0.03021,0.78505,1.04161,0.00381899,0.00381899,0.00381899
89,4764.49,0.07045,1.00765,0.8869,0.73902,0.779,0.81963,0.8196,0.03008,0.7692,1.04154,0.00371885,0.00371885,0.00371885
90,4818.96,0.06919,1.00459,0.88664,0.74084,0.77876,0.82003,0.82001,0.03005,0.761,1.04151,0.00361929,0.00361929,0.00361929
91,4873.79,0.06907,1.00247,0.88619,0.7408,0.77827,0.81999,0.81998,0.03031,0.75528,1.04154,0.00352037,0.00352037,0.00352037
92,4927.37,0.06815,1.00051,0.88742,0.73949,0.77891,0.81986,0.81986,0.03027,0.76016,1.04155,0.00342211,0.00342211,0.00342211
93,4981.7,0.06664,0.99549,0.88659,0.73997,0.77864,0.82027,0.82024,0.02992,0.75359,1.04155,0.00332457,0.00332457,0.00332457
94,5036.09,0.0673,0.98672,0.8848,0.74095,0.77768,0.82034,0.82029,0.03051,0.75498,1.04157,0.00322778,0.00322778,0.00322778
95,5089.53,inf,0.99425,0.88705,0.74705,0.77271,0.8204,0.82036,0.03049,0.75552,1.04157,0.0031318,0.0031318,0.0031318
96,5143.33,0.0647,0.98987,0.88478,0.74132,0.77573,0.82042,0.82037,0.03045,0.75459,1.04155,0.00303665,0.00303665,0.00303665
97,5197.26,0.06467,0.98885,0.88547,0.75672,0.76198,0.82084,0.8208,0.03018,0.74651,1.04153,0.00294239,0.00294239,0.00294239
98,5251.26,0.06469,0.98698,0.88614,0.75886,0.76182,0.82082,0.82078,0.03004,0.74627,1.04152,0.00284906,0.00284906,0.00284906
99,5304.28,0.06381,0.98126,0.88548,0.76222,0.759,0.82069,0.82064,0.02996,0.74756,1.04152,0.00275668,0.00275668,0.00275668
100,5357.93,0.06417,0.97129,0.88679,0.76135,0.75968,0.82066,0.82062,0.02978,0.75,1.04149,0.00266532,0.00266532,0.00266532
101,5411.1,0.06332,0.97103,0.88482,0.76146,0.76047,0.82053,0.82049,0.02946,0.75255,1.04147,0.002575,0.002575,0.002575
